,course_code,course_name,faculty,section,date,professor
87,TD302,"RESEARCH METHODOLOGY IN THE ARTS
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.เกษหทัย สิงห์อินทร์",คณะศิลปกรรมศาสตร์,210001,TH 08:00-11:00 N/A,-
88,TD331,"PRINTED DESIGN 1
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.เกษหทัย สิงห์อินทร์",คณะศิลปกรรมศาสตร์,450001,TU 13:30-16:30 N/A,-
89,TD332,"KNITTED DESIGN
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
อ.ดร.วุฒิไกร ศิริผล",คณะศิลปกรรมศาสตร์,760001,FR 08:00-11:00 N/A,-
90,TD351,"WOVEN DESIGN 1
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.ดร.วิทวัน จันทร
อ.ดร.วุฒิไกร ศิริผล",คณะศิลปกรรมศาสตร์,000001,,"ผศ.ดร.วิทวัน จันทร
อ.ดร.วุฒิไกร ศิริผล"
91,TD400,"ART THESIS PREPARATION
อ.ปรุฬห์ลภย์ พฤกษ์โสภี
ผศ.จิรัชญา วันจันทร์",คณะศิลปกรรมศาสตร์,000001,,-
92,TD500,"ART THESIS
***เฉพาะนักศึกษาคณะศิลปกรรมศาสตร์เท่านั้น (นศ.นอกคณะโปรดติดต่อผู้ สอนหรืองานบริการการศึกษาคณะฯ)***
อ.ดร.วุฒิไกร ศิริผล",คณะศิลปกรรมศาสตร์,000001,,-
93,TFD100,"DRAWING
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
อ.รุ่งวิทย์ ลัคนทิน
ผศ.บุญช่วย เกิดรี",คณะศิลปกรรมศาสตร์,122301,"TU 08:30-09:30 N/A
TU 09:30-12:30 N/A","อ.รุ่งวิทย์ ลัคนทิน
ผศ.บุญช่วย เกิดรี"
94,TFD136,"PAINTING1
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
อ.รุ่งวิทย์ ลัคนทิน",คณะศิลปกรรมศาสตร์,450001,TU 13:30-16:30 N/A,-
95,TFD202,"THAI ART FOR TEXTILE AND FASHION DESIGN
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
อ.รุ่งวิทย์ ลัคนทิน",คณะศิลปกรรมศาสตร์,820001,"MO 13:30-14:30 N/A
MO 14:30-17:30 N/A",-
96,TTD130,"FOUNDATION OF ART AND DESIGN
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.เกษหทัย สิงห์อินทร์",คณะศิลปกรรมศาสตร์,540001,"TH 13:30-14:30 N/A
TH 14:30-17:30 N/A",-
